"アルバム名","曲名","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","新たなる旅立ち ~始まりのテーマ~","1","1","1","86493","137.89","4","7","1","0.0907","0.546","0.635","0.315","0.0538","-7.625","0.0337","0.132"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","出航","1","2","3","81867","180.019","3","2","1","0.653","0.369","0.813","0.944","0.074","-7.678","0.0411","0.248"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","上陸","1","3","2","82733","152.142","3","7","1","0.0355","0.584","0.571","0.88","0.0773","-7.838","0.0324","0.852"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","突入1","1","4","0","7907","0.0","0","10","1","0.0","0.0","0.00484","0.00105","0.0","-17.366","0.0","0.0"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","戦闘","1","5","4","65827","106.956","5","2","0","0.51","0.511","0.641","0.937","0.18","-6.499","0.04","0.53"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","勝利のテーマ","1","6","2","55573","134.881","4","0","1","0.125","0.53","0.555","0.00127","0.278","-8.193","0.0406","0.45"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","騎士の習い","1","7","1","82893","105.19","4","7","0","0.644","0.61","0.301","0.936","0.403","-8.088","0.0273","0.752"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","祭りの夜","1","8","1","95800","168.294","3","0","1","0.831","0.605","0.592","0.949","0.0952","-9.983","0.0481","0.845"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","愁いの舟行","1","9","1","120173","128.242","4","7","1","0.767","0.579","0.346","0.941","0.109","-13.126","0.0352","0.463"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","巻返し","1","10","1","87467","146.031","3","2","0","0.657","0.686","0.719","0.992","0.146","-11.216","0.0355","0.75"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","大海原の戦1","1","11","2","87600","79.779","4","0","1","0.15","0.198","0.612","0.0463","0.299","-6.052","0.0449","0.172"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","静かな島で","1","12","1","99867","174.116","4","0","1","0.533","0.681","0.325","0.921","0.0906","-8.337","0.0331","0.471"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","話の続き","1","13","1","45000","115.116","4","1","0","0.938","0.777","0.251","0.898","0.111","-14.55","0.224","0.18"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","無人島の夜","1","14","1","96560","159.43","4","7","1","0.179","0.476","0.0727","0.00033","0.0945","-15.996","0.0513","0.495"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","潮騒の残響","1","15","1","67707","68.61","3","7","1","0.937","0.493","0.202","0.979","0.133","-15.958","0.0413","0.0683"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","突入2","1","16","0","11693","0.0","0","9","1","0.981","0.0","0.0418","0.997","0.112","-15.053","0.0","0.0"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","強敵出現","1","17","3","81440","83.003","3","7","1","0.121","0.5","0.827","0.257","0.36","-4.992","0.0416","0.102"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","波頭をかき分けて","1","18","2","92493","129.94","4","0","1","3.83e-05","0.543","0.648","0.866","0.31","-8.525","0.0321","0.763"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","アジトのテーマ","1","19","2","112573","127.2","4","7","1","0.0585","0.715","0.386","0.722","0.102","-10.199","0.0361","0.804"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","確かな出会い","1","20","1","108533","92.133","4","7","1","0.846","0.608","0.221","0.86","0.107","-17.55","0.0523","0.355"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","南風","1","21","2","101893","173.025","4","11","1","0.229","0.59","0.447","0.114","0.132","-10.657","0.0341","0.418"
"幻想水滸伝IV ORIGINAL SOUNDTRACK SELECTION","継承の意味","1","22","1","103773","97.129","4","5","1","0.137","0.498","0.327","0.811","0.307","-7.946","0.0321","0.53"
