"アルバム名","曲名","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","闘技場","1","21","0","128280","115.962","5","9","0","0.0111","0.689","0.651","0.835","0.34","-10.586","0.0274","0.466"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","対決の時","1","22","0","67653","144.01","4","6","0","0.0054","0.683","0.644","0.852","0.0855","-13.574","0.0616","0.682"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","うたたね","1","23","0","88000","75.9","4","5","0","0.977","0.522","0.152","0.914","0.0982","-14.34","0.0331","0.231"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","宿屋は大繁盛","1","24","0","87987","102.545","3","4","1","0.835","0.576","0.366","0.626","0.623","-12.07","0.0325","0.481"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","休息","1","25","0","77627","86.272","5","7","1","0.983","0.165","0.168","0.907","0.09","-14.598","0.034","0.188"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","磐石の意思","1","26","0","116987","84.025","4","2","0","0.722","0.638","0.0456","0.433","0.134","-16.236","0.0307","0.108"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","疑惑","1","27","0","76893","122.146","1","10","0","0.776","0.175","0.115","0.421","0.0981","-17.134","0.0418","0.115"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","奴隷居住区","1","28","0","106373","136.882","4","4","0","0.978","0.188","0.114","0.963","0.077","-27.539","0.0374","0.12"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","地下通路","1","29","0","81427","63.989","4","5","0","0.681","0.472","0.206","0.000951","0.101","-18.678","0.0415","0.171"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","宣戦","1","30","0","67320","150.731","4","9","1","0.628","0.507","0.3","0.0111","0.268","-11.858","0.0464","0.58"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","戦いの舞台","1","31","0","116360","123.01","4","9","0","0.000479","0.579","0.777","0.157","0.28","-10.936","0.0379","0.467"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","不穏","1","32","0","88760","85.054","4","0","0","0.768","0.5","0.105","0.78","0.0957","-20.155","0.035","0.0822"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","哀愁","1","33","0","151960","76.013","3","9","0","0.952","0.349","0.0622","0.866","0.123","-17.952","0.049","0.14"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","不審","1","34","0","117533","125.497","3","2","1","0.919","0.232","0.0178","0.932","0.094","-19.953","0.0561","0.0955"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","ふたつの守護紋章","1","35","1","110253","79.83","1","9","0","0.99","0.394","0.0227","0.942","0.0724","-22.697","0.047","0.113"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","黒衣の美女","1","36","0","180133","72.123","4","9","1","0.909","0.0858","0.0973","0.975","0.0928","-19.48","0.042","0.0371"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","聖なる地","1","37","0","104107","73.979","4","7","1","0.727","0.6","0.302","0.78","0.101","-15.127","0.0298","0.248"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","平和なひと時","1","38","0","116707","112.999","4","0","1","0.728","0.601","0.319","0.635","0.122","-17.19","0.0315","0.194"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","深き森、迷い森","1","39","0","86333","110.973","4","6","0","0.539","0.609","0.436","0.643","0.0892","-14.753","0.0429","0.389"
