"id","album_id","duration_ms","tempo","time_signature","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","api_analysis_url","api_track_href"
"1FdeWg49KSoQSLBCEThXSu","0CvxwMIrf6nWyTH0d7Syz1","242733","97.99","4","2","0","0.304","0.603","0.723","0.608","0.352","-4.785","0.0255","0.806","https://api.spotify.com/v1/audio-analysis/1FdeWg49KSoQSLBCEThXSu","https://api.spotify.com/v1/tracks/1FdeWg49KSoQSLBCEThXSu"
"1q9ImmR9Db9uqjLyNK5QAc","0CvxwMIrf6nWyTH0d7Syz1","189373","150.004","4","9","1","0.118","0.431","0.739","0.201","0.226","-6.4","0.0284","0.47","https://api.spotify.com/v1/audio-analysis/1q9ImmR9Db9uqjLyNK5QAc","https://api.spotify.com/v1/tracks/1q9ImmR9Db9uqjLyNK5QAc"
"06C7kHxRMRSsi6bmGj2FBz","0CvxwMIrf6nWyTH0d7Syz1","198347","99.984","3","2","1","0.904","0.427","0.382","0.937","0.208","-7.776","0.028","0.16","https://api.spotify.com/v1/audio-analysis/06C7kHxRMRSsi6bmGj2FBz","https://api.spotify.com/v1/tracks/06C7kHxRMRSsi6bmGj2FBz"
"4BQKcuFohsIK0T0NiFwcjU","0CvxwMIrf6nWyTH0d7Syz1","169293","102.885","4","2","1","0.111","0.455","0.635","0.00925","0.218","-4.247","0.0291","0.774","https://api.spotify.com/v1/audio-analysis/4BQKcuFohsIK0T0NiFwcjU","https://api.spotify.com/v1/tracks/4BQKcuFohsIK0T0NiFwcjU"
"2M0I7zVa9QTNIpXvyT9UIx","0CvxwMIrf6nWyTH0d7Syz1","213493","180.011","4","7","1","0.347","0.519","0.45","0.254","0.298","-5.227","0.029","0.387","https://api.spotify.com/v1/audio-analysis/2M0I7zVa9QTNIpXvyT9UIx","https://api.spotify.com/v1/tracks/2M0I7zVa9QTNIpXvyT9UIx"
"79uhjprfuirvu2riY8kfEO","0CvxwMIrf6nWyTH0d7Syz1","230440","119.898","4","0","1","0.335","0.607","0.876","0.816","0.205","-4.166","0.038","0.44","https://api.spotify.com/v1/audio-analysis/79uhjprfuirvu2riY8kfEO","https://api.spotify.com/v1/tracks/79uhjprfuirvu2riY8kfEO"
"5FdupRTkmZoG0k8GuT0q1e","0CvxwMIrf6nWyTH0d7Syz1","195173","134.802","3","5","1","0.792","0.194","0.339","0.892","0.527","-6.471","0.0303","0.186","https://api.spotify.com/v1/audio-analysis/5FdupRTkmZoG0k8GuT0q1e","https://api.spotify.com/v1/tracks/5FdupRTkmZoG0k8GuT0q1e"
"4xA55FN0k1yr5NHSCBtnxX","0CvxwMIrf6nWyTH0d7Syz1","180413","131.959","4","8","1","0.202","0.6","0.946","0.524","0.291","-5.517","0.0316","0.963","https://api.spotify.com/v1/audio-analysis/4xA55FN0k1yr5NHSCBtnxX","https://api.spotify.com/v1/tracks/4xA55FN0k1yr5NHSCBtnxX"
"6ehD01fGdQBZ4rUbMhwszH","0CvxwMIrf6nWyTH0d7Syz1","184560","109.934","4","9","0","0.15","0.492","0.614","0.198","0.2","-7.004","0.0477","0.488","https://api.spotify.com/v1/audio-analysis/6ehD01fGdQBZ4rUbMhwszH","https://api.spotify.com/v1/tracks/6ehD01fGdQBZ4rUbMhwszH"
"01GeCBbcFo85u1Q6cI48AS","0CvxwMIrf6nWyTH0d7Syz1","198227","101.229","3","7","1","0.0337","0.508","0.581","0.954","0.104","-5.839","0.0322","0.081","https://api.spotify.com/v1/audio-analysis/01GeCBbcFo85u1Q6cI48AS","https://api.spotify.com/v1/tracks/01GeCBbcFo85u1Q6cI48AS"
"3DBBOUHmNwBP7FkzR79KM8","0CvxwMIrf6nWyTH0d7Syz1","194800","179.912","4","2","0","0.763","0.427","0.265","0.129","0.29","-8.782","0.0288","0.327","https://api.spotify.com/v1/audio-analysis/3DBBOUHmNwBP7FkzR79KM8","https://api.spotify.com/v1/tracks/3DBBOUHmNwBP7FkzR79KM8"
"02yR0F57h6bdx71ByoLdhm","0CvxwMIrf6nWyTH0d7Syz1","121973","95.95","4","9","0","0.725","0.57","0.722","0.928","0.0662","-8.505","0.0304","0.771","https://api.spotify.com/v1/audio-analysis/02yR0F57h6bdx71ByoLdhm","https://api.spotify.com/v1/tracks/02yR0F57h6bdx71ByoLdhm"
"7mNgHCSlhEbagb332RfYD5","0CvxwMIrf6nWyTH0d7Syz1","194933","119.928","4","7","1","0.605","0.632","0.688","0.634","0.12","-8.913","0.0414","0.753","https://api.spotify.com/v1/audio-analysis/7mNgHCSlhEbagb332RfYD5","https://api.spotify.com/v1/tracks/7mNgHCSlhEbagb332RfYD5"
"6eQKJJEwsjcjmqyi8JUePi","0CvxwMIrf6nWyTH0d7Syz1","165453","99.953","4","11","1","0.00362","0.506","0.902","0.942","0.257","-6.842","0.0409","0.936","https://api.spotify.com/v1/audio-analysis/6eQKJJEwsjcjmqyi8JUePi","https://api.spotify.com/v1/tracks/6eQKJJEwsjcjmqyi8JUePi"
"54zPmyzvB0lyuhlx85Cwje","0CvxwMIrf6nWyTH0d7Syz1","173400","80.008","4","1","0","0.681","0.424","0.401","0.0162","0.123","-10.392","0.0299","0.382","https://api.spotify.com/v1/audio-analysis/54zPmyzvB0lyuhlx85Cwje","https://api.spotify.com/v1/tracks/54zPmyzvB0lyuhlx85Cwje"
"4KlECdk7rbULCV9SZksM2S","0CvxwMIrf6nWyTH0d7Syz1","204160","78.917","3","0","1","0.411","0.254","0.411","0.939","0.0835","-12.699","0.0321","0.0392","https://api.spotify.com/v1/audio-analysis/4KlECdk7rbULCV9SZksM2S","https://api.spotify.com/v1/tracks/4KlECdk7rbULCV9SZksM2S"
"2UDzHp7NIopA0OImEWxOPO","0CvxwMIrf6nWyTH0d7Syz1","160027","93.938","3","2","1","0.118","0.421","0.535","0.326","0.337","-9.356","0.0284","0.363","https://api.spotify.com/v1/audio-analysis/2UDzHp7NIopA0OImEWxOPO","https://api.spotify.com/v1/tracks/2UDzHp7NIopA0OImEWxOPO"
"0DRFxwToLY6c6MYdBm3FOB","0CvxwMIrf6nWyTH0d7Syz1","203187","98.623","3","2","1","0.479","0.242","0.398","0.917","0.284","-9.046","0.0282","0.166","https://api.spotify.com/v1/audio-analysis/0DRFxwToLY6c6MYdBm3FOB","https://api.spotify.com/v1/tracks/0DRFxwToLY6c6MYdBm3FOB"
"38ZRFfcZGknLepbUlKT93S","0CvxwMIrf6nWyTH0d7Syz1","160720","58.988","4","2","1","0.724","0.29","0.383","0.439","0.139","-8.968","0.0317","0.155","https://api.spotify.com/v1/audio-analysis/38ZRFfcZGknLepbUlKT93S","https://api.spotify.com/v1/tracks/38ZRFfcZGknLepbUlKT93S"
"23H6YeqV30grKwvP1UOLlg","0CvxwMIrf6nWyTH0d7Syz1","150027","129.118","3","7","0","0.861","0.284","0.259","0.901","0.13","-10.758","0.03","0.0316","https://api.spotify.com/v1/audio-analysis/23H6YeqV30grKwvP1UOLlg","https://api.spotify.com/v1/tracks/23H6YeqV30grKwvP1UOLlg"
"3FNcxJ39bU7wySNlcsj8V7","0CvxwMIrf6nWyTH0d7Syz1","200067","72.864","3","2","1","0.968","0.21","0.253","0.0155","0.14","-11.088","0.0345","0.0951","https://api.spotify.com/v1/audio-analysis/3FNcxJ39bU7wySNlcsj8V7","https://api.spotify.com/v1/tracks/3FNcxJ39bU7wySNlcsj8V7"
"0I7hjB3gBa2uscvg12SLtO","0CvxwMIrf6nWyTH0d7Syz1","198400","155.837","4","5","1","0.792","0.48","0.406","0.705","0.111","-9.489","0.0283","0.5","https://api.spotify.com/v1/audio-analysis/0I7hjB3gBa2uscvg12SLtO","https://api.spotify.com/v1/tracks/0I7hjB3gBa2uscvg12SLtO"
"0hcSjjaKfx5o5x5aWPtgur","0CvxwMIrf6nWyTH0d7Syz1","154853","130.033","4","10","1","0.183","0.551","0.896","0.946","0.43","-8.576","0.0331","0.796","https://api.spotify.com/v1/audio-analysis/0hcSjjaKfx5o5x5aWPtgur","https://api.spotify.com/v1/tracks/0hcSjjaKfx5o5x5aWPtgur"
"5ag4jsZge1MNAtowkLtRNR","0CvxwMIrf6nWyTH0d7Syz1","200000","113.971","4","7","1","0.0172","0.528","0.509","0.888","0.279","-9.383","0.0293","0.625","https://api.spotify.com/v1/audio-analysis/5ag4jsZge1MNAtowkLtRNR","https://api.spotify.com/v1/tracks/5ag4jsZge1MNAtowkLtRNR"
