"id","album_id","duration_ms","tempo","time_signature","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","api_analysis_url","api_track_href"
"09R5Mt1iaTIi3hbgSBQEYw","1DEfvfv6tr5O5HoM8oUaUp","111960","135.918","4","7","1","0.417","0.302","0.58","0.97","0.302","-10.9","0.0408","0.177","https://api.spotify.com/v1/audio-analysis/09R5Mt1iaTIi3hbgSBQEYw","https://api.spotify.com/v1/tracks/09R5Mt1iaTIi3hbgSBQEYw"
"0NpSRjiqcrTZUfZVjgbDBP","1DEfvfv6tr5O5HoM8oUaUp","76440","137.952","4","0","1","0.000133","0.507","0.469","0.582","0.126","-14.829","0.0318","0.342","https://api.spotify.com/v1/audio-analysis/0NpSRjiqcrTZUfZVjgbDBP","https://api.spotify.com/v1/tracks/0NpSRjiqcrTZUfZVjgbDBP"
"0V8Gv3MkN3j21HAF0pKGZH","1DEfvfv6tr5O5HoM8oUaUp","162627","127.421","4","2","1","0.603","0.409","0.18","0.553","0.24","-15.431","0.0338","0.357","https://api.spotify.com/v1/audio-analysis/0V8Gv3MkN3j21HAF0pKGZH","https://api.spotify.com/v1/tracks/0V8Gv3MkN3j21HAF0pKGZH"
"4jF9xL9OGTStCVZAyfR79X","1DEfvfv6tr5O5HoM8oUaUp","140307","76.329","3","0","1","0.056","0.127","0.16","0.604","0.0923","-16.842","0.0303","0.121","https://api.spotify.com/v1/audio-analysis/4jF9xL9OGTStCVZAyfR79X","https://api.spotify.com/v1/tracks/4jF9xL9OGTStCVZAyfR79X"
"0HNvZDLu2sKAykuaIKuwOH","1DEfvfv6tr5O5HoM8oUaUp","129800","167.953","3","8","1","0.0538","0.52","0.592","0.835","0.213","-11.058","0.0406","0.849","https://api.spotify.com/v1/audio-analysis/0HNvZDLu2sKAykuaIKuwOH","https://api.spotify.com/v1/tracks/0HNvZDLu2sKAykuaIKuwOH"
"7Ie83Rv8cZfHLhBNqWfdc8","1DEfvfv6tr5O5HoM8oUaUp","122360","165.879","4","2","1","0.604","0.443","0.325","0.0153","0.147","-12.992","0.0344","0.205","https://api.spotify.com/v1/audio-analysis/7Ie83Rv8cZfHLhBNqWfdc8","https://api.spotify.com/v1/tracks/7Ie83Rv8cZfHLhBNqWfdc8"
"4EiBbyPkRl1lzjlJ8kVFuD","1DEfvfv6tr5O5HoM8oUaUp","29907","131.601","4","11","1","0.804","0.28","0.487","0.935","0.153","-11.239","0.0375","0.117","https://api.spotify.com/v1/audio-analysis/4EiBbyPkRl1lzjlJ8kVFuD","https://api.spotify.com/v1/tracks/4EiBbyPkRl1lzjlJ8kVFuD"
"0XtRFbGXTrWr5NJG8pzxB6","1DEfvfv6tr5O5HoM8oUaUp","166827","131.423","4","4","0","0.414","0.441","0.423","0.943","0.447","-12.79","0.0306","0.285","https://api.spotify.com/v1/audio-analysis/0XtRFbGXTrWr5NJG8pzxB6","https://api.spotify.com/v1/tracks/0XtRFbGXTrWr5NJG8pzxB6"
"2KdvtI4lSXJjzXvvPkbYwi","1DEfvfv6tr5O5HoM8oUaUp","122973","86.934","1","3","1","0.00208","0.0913","0.247","0.743","0.298","-17.251","0.0386","0.0332","https://api.spotify.com/v1/audio-analysis/2KdvtI4lSXJjzXvvPkbYwi","https://api.spotify.com/v1/tracks/2KdvtI4lSXJjzXvvPkbYwi"
"0lfkXjQvvZbrLzouRXjHfH","1DEfvfv6tr5O5HoM8oUaUp","114160","119.67","4","10","1","0.243","0.519","0.497","0.855","0.408","-11.59","0.0383","0.789","https://api.spotify.com/v1/audio-analysis/0lfkXjQvvZbrLzouRXjHfH","https://api.spotify.com/v1/tracks/0lfkXjQvvZbrLzouRXjHfH"
"5VUrh1Xea7smGmo63s178m","1DEfvfv6tr5O5HoM8oUaUp","134840","100.015","4","5","0","0.01","0.683","0.61","0.853","0.111","-14.052","0.0496","0.803","https://api.spotify.com/v1/audio-analysis/5VUrh1Xea7smGmo63s178m","https://api.spotify.com/v1/tracks/5VUrh1Xea7smGmo63s178m"
"5uFshJvSKZriLbTQQA82t3","1DEfvfv6tr5O5HoM8oUaUp","96533","114.611","4","1","1","0.672","0.686","0.403","0.616","0.0898","-15.685","0.0441","0.119","https://api.spotify.com/v1/audio-analysis/5uFshJvSKZriLbTQQA82t3","https://api.spotify.com/v1/tracks/5uFshJvSKZriLbTQQA82t3"
"2LaVXtRxGMyamgSGqX5WzB","1DEfvfv6tr5O5HoM8oUaUp","139000","73.283","3","5","0","0.00402","0.341","0.533","0.0729","0.3","-14.76","0.0419","0.641","https://api.spotify.com/v1/audio-analysis/2LaVXtRxGMyamgSGqX5WzB","https://api.spotify.com/v1/tracks/2LaVXtRxGMyamgSGqX5WzB"
"4igcp6GL0qckhYSyOh56fx","1DEfvfv6tr5O5HoM8oUaUp","25293","39.82","4","4","1","0.213","0.295","0.598","0.499","0.366","-11.818","0.0382","0.287","https://api.spotify.com/v1/audio-analysis/4igcp6GL0qckhYSyOh56fx","https://api.spotify.com/v1/tracks/4igcp6GL0qckhYSyOh56fx"
"3W6JNk8gSgYA1z2Ve7TBN9","1DEfvfv6tr5O5HoM8oUaUp","84200","141.225","4","2","1","0.0101","0.446","0.467","0.832","0.105","-12.63","0.0348","0.307","https://api.spotify.com/v1/audio-analysis/3W6JNk8gSgYA1z2Ve7TBN9","https://api.spotify.com/v1/tracks/3W6JNk8gSgYA1z2Ve7TBN9"
"6QXwS0TeJehGQdRDnIcfmB","1DEfvfv6tr5O5HoM8oUaUp","43973","157.88","5","0","1","0.822","0.537","0.495","0.797","0.2","-22.558","0.047","0.976","https://api.spotify.com/v1/audio-analysis/6QXwS0TeJehGQdRDnIcfmB","https://api.spotify.com/v1/tracks/6QXwS0TeJehGQdRDnIcfmB"
"4RiqF6Nusj1wmSNMgi9CCe","1DEfvfv6tr5O5HoM8oUaUp","106293","71.108","4","9","1","0.937","0.214","0.27","0.921","0.528","-12.983","0.0346","0.14","https://api.spotify.com/v1/audio-analysis/4RiqF6Nusj1wmSNMgi9CCe","https://api.spotify.com/v1/tracks/4RiqF6Nusj1wmSNMgi9CCe"
"4fYF3ZOWzJc436yoQS8sxI","1DEfvfv6tr5O5HoM8oUaUp","171507","77.647","4","8","1","0.195","0.181","0.317","0.864","0.0959","-11.851","0.0318","0.254","https://api.spotify.com/v1/audio-analysis/4fYF3ZOWzJc436yoQS8sxI","https://api.spotify.com/v1/tracks/4fYF3ZOWzJc436yoQS8sxI"
"1gCQTVvKO8mMRO4EPC7Z19","1DEfvfv6tr5O5HoM8oUaUp","84333","146.854","4","7","1","0.0626","0.531","0.665","0.938","0.23","-12.546","0.0508","0.802","https://api.spotify.com/v1/audio-analysis/1gCQTVvKO8mMRO4EPC7Z19","https://api.spotify.com/v1/tracks/1gCQTVvKO8mMRO4EPC7Z19"
