"id","album_id","isrc","name","popularity","duration_ms","disc_number","track_number","spotify_external_url","preview_url","api_href"
"1Zqyzg4LwXVh2dXrgKL4Jv","5cCA9ErhDo9sjGR4y4CY47","JPM201801698","第3章「旅の一座との出会い」 ~大道芸(イベント「ジプシーたち」より)","3","183133","1","14","https://open.spotify.com/track/1Zqyzg4LwXVh2dXrgKL4Jv","https://p.scdn.co/mp3-preview/80db21ba1f676b861b2040dd47e6d81ea4f32e31?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1Zqyzg4LwXVh2dXrgKL4Jv"
"3aflCtKcWfry52H5bqmPLe","5cCA9ErhDo9sjGR4y4CY47","JPM201801699","第3章「旅の一座との出会い」 ~冒険の旅(ワールドマップBGM1)","4","160933","1","15","https://open.spotify.com/track/3aflCtKcWfry52H5bqmPLe","https://p.scdn.co/mp3-preview/840ed57a8a179de3b18d024cd940a0197bef50f4?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/3aflCtKcWfry52H5bqmPLe"
"0S1aH2MpgPit1QLYu1GDKo","5cCA9ErhDo9sjGR4y4CY47","JPM201801700","第3章「旅の一座との出会い」 ~迷宮~PENPE2(ダンジョンBGM)","3","232173","1","16","https://open.spotify.com/track/0S1aH2MpgPit1QLYu1GDKo","https://p.scdn.co/mp3-preview/35b1b338ef95a249751e7b93ff15207747b99ab7?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0S1aH2MpgPit1QLYu1GDKo"
"7HhhimzHfrya25MLrQ7C0j","5cCA9ErhDo9sjGR4y4CY47","JPM201801701","第3章「旅の一座との出会い」 ~強敵出現(中ボスBGM)","4","134560","1","17","https://open.spotify.com/track/7HhhimzHfrya25MLrQ7C0j","https://p.scdn.co/mp3-preview/1106fac3875c06929942ffef7ff76f765b7b4b9e?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/7HhhimzHfrya25MLrQ7C0j"
"47E6ITmPp5GiZJojHmvqvm","5cCA9ErhDo9sjGR4y4CY47","JPM201801702","第4章「故郷へ」 ~郷愁(キャロBGM)","4","192666","1","18","https://open.spotify.com/track/47E6ITmPp5GiZJojHmvqvm","https://p.scdn.co/mp3-preview/d032913897c296c625062ce7b010129b18330ae8?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/47E6ITmPp5GiZJojHmvqvm"
"4grsnJOMVwrrcbKUACuLWs","5cCA9ErhDo9sjGR4y4CY47","JPM201801703","第4章「故郷へ」 ~Beautiful Morning(朝BGM)","5","178640","1","19","https://open.spotify.com/track/4grsnJOMVwrrcbKUACuLWs","https://p.scdn.co/mp3-preview/67d760a8af3d7c0b89a73f9b07def870e8c58738?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/4grsnJOMVwrrcbKUACuLWs"
"1XEnJOxj3JJcSY8PreODkB","5cCA9ErhDo9sjGR4y4CY47","JPM201801704","第4章「故郷へ」 ~王者の行進(イベント「刑場へ」より)","2","193360","1","20","https://open.spotify.com/track/1XEnJOxj3JJcSY8PreODkB","https://p.scdn.co/mp3-preview/529a91a9f7278d4904480ba58ab6e555a783c851?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1XEnJOxj3JJcSY8PreODkB"
"6DPtgSyhZbVd8GRuE6vtLS","5cCA9ErhDo9sjGR4y4CY47","JPM201801705","第4章「故郷へ」 ~救出(イベント「フリックたちの登場」より)","3","138173","1","21","https://open.spotify.com/track/6DPtgSyhZbVd8GRuE6vtLS","https://p.scdn.co/mp3-preview/12dabad52cbb3a0408ef91cb99bbcd231fc354e2?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6DPtgSyhZbVd8GRuE6vtLS"
"7y8Hna1yjLtUZMySFvckef","5cCA9ErhDo9sjGR4y4CY47","JPM201801706","第4章「故郷へ」 ~回想~ストリングスバージョン~(イベント「別れ」より)","5","154560","1","22","https://open.spotify.com/track/7y8Hna1yjLtUZMySFvckef","https://p.scdn.co/mp3-preview/63419017f77aa900f2f2a601218ded62e5ec2b15?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/7y8Hna1yjLtUZMySFvckef"
"7tvuA2rumNDU6lo36en2wR","5cCA9ErhDo9sjGR4y4CY47","JPM201801707","第5章「狂皇子ルカ ブライト」 ~子供たちは野に遊び(トトBGM)","3","217640","1","23","https://open.spotify.com/track/7tvuA2rumNDU6lo36en2wR","https://p.scdn.co/mp3-preview/e7a025cd3bdcf560b8810d4f3d5e893ca7b8fb02?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/7tvuA2rumNDU6lo36en2wR"
