"id","duration_ms","tempo","time_signature","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","api_analysis_url","api_track_href"
"4ahbPXujPehZFgXVAjPgrm","162813","84.979","4","5","1","0.764","0.661","0.203","0.144","0.0962","-13.762","0.0292","0.614","https://api.spotify.com/v1/audio-analysis/4ahbPXujPehZFgXVAjPgrm","https://api.spotify.com/v1/tracks/4ahbPXujPehZFgXVAjPgrm"
"4SD6eeZv07nkAFo5MhDw0g","193293","133.947","3","9","1","0.37","0.482","0.354","0.771","0.371","-9.867","0.0292","0.492","https://api.spotify.com/v1/audio-analysis/4SD6eeZv07nkAFo5MhDw0g","https://api.spotify.com/v1/tracks/4SD6eeZv07nkAFo5MhDw0g"
"5aBqc23A16kEj3b26RKmST","208413","114.997","4","11","1","0.351","0.935","0.463","0.44","0.0758","-13.171","0.0404","0.779","https://api.spotify.com/v1/audio-analysis/5aBqc23A16kEj3b26RKmST","https://api.spotify.com/v1/tracks/5aBqc23A16kEj3b26RKmST"
"2IMmdmYaaGkuyUXRo8Dtrc","203133","115.971","3","9","1","0.962","0.378","0.0962","0.574","0.073","-16.321","0.0377","0.147","https://api.spotify.com/v1/audio-analysis/2IMmdmYaaGkuyUXRo8Dtrc","https://api.spotify.com/v1/tracks/2IMmdmYaaGkuyUXRo8Dtrc"
"2cL0xyxYiRkaonoj06Xo7s","192213","139.906","5","4","0","0.109","0.576","0.436","0.675","0.285","-10.259","0.0262","0.712","https://api.spotify.com/v1/audio-analysis/2cL0xyxYiRkaonoj06Xo7s","https://api.spotify.com/v1/tracks/2cL0xyxYiRkaonoj06Xo7s"
"2RsGFoSI5canR9NZ24JbLO","217693","112.416","3","9","1","0.608","0.536","0.419","0.726","0.272","-8.678","0.0289","0.347","https://api.spotify.com/v1/audio-analysis/2RsGFoSI5canR9NZ24JbLO","https://api.spotify.com/v1/tracks/2RsGFoSI5canR9NZ24JbLO"
"6zgxFYRfd9ubC4g5G7s1hU","190533","120.053","3","5","1","0.454","0.599","0.436","0.0026","0.115","-11.865","0.0297","0.525","https://api.spotify.com/v1/audio-analysis/6zgxFYRfd9ubC4g5G7s1hU","https://api.spotify.com/v1/tracks/6zgxFYRfd9ubC4g5G7s1hU"
"0ugKdOcH8c0DxbneSS1uYH","210933","92.109","4","2","1","0.403","0.295","0.412","0.915","0.12","-11.187","0.0303","0.0377","https://api.spotify.com/v1/audio-analysis/0ugKdOcH8c0DxbneSS1uYH","https://api.spotify.com/v1/tracks/0ugKdOcH8c0DxbneSS1uYH"
"6XNsae7m7pClWmZv33Qkjn","237573","76.033","4","8","1","0.717","0.653","0.342","0.732","0.0829","-14.759","0.0409","0.117","https://api.spotify.com/v1/audio-analysis/6XNsae7m7pClWmZv33Qkjn","https://api.spotify.com/v1/tracks/6XNsae7m7pClWmZv33Qkjn"
"0gc3nxKuHgyjXCYZXrKwOJ","201213","160.119","4","5","0","0.147","0.523","0.546","0.792","0.138","-12.461","0.029","0.411","https://api.spotify.com/v1/audio-analysis/0gc3nxKuHgyjXCYZXrKwOJ","https://api.spotify.com/v1/tracks/0gc3nxKuHgyjXCYZXrKwOJ"
"4qDqjNEfWmnqNuOFsbddxh","170733","101.904","3","10","1","0.745","0.581","0.292","0.946","0.0605","-17.057","0.0353","0.074","https://api.spotify.com/v1/audio-analysis/4qDqjNEfWmnqNuOFsbddxh","https://api.spotify.com/v1/tracks/4qDqjNEfWmnqNuOFsbddxh"
"4CoZ2sBPDvyOFYWKDuKvO0","199773","118.016","4","8","1","0.00111","0.564","0.929","0.756","0.172","-9.156","0.0566","0.36","https://api.spotify.com/v1/audio-analysis/4CoZ2sBPDvyOFYWKDuKvO0","https://api.spotify.com/v1/tracks/4CoZ2sBPDvyOFYWKDuKvO0"
"0MyEzrqHk2pnvgjQZXt2E1","228333","179.886","4","7","0","0.39","0.234","0.358","0.113","0.225","-9.832","0.0298","0.168","https://api.spotify.com/v1/audio-analysis/0MyEzrqHk2pnvgjQZXt2E1","https://api.spotify.com/v1/tracks/0MyEzrqHk2pnvgjQZXt2E1"
"2TgRn7IIKQ2Cz6W2HeFHDa","189573","85.942","4","0","1","0.65","0.488","0.347","0.825","0.138","-11.853","0.0286","0.204","https://api.spotify.com/v1/audio-analysis/2TgRn7IIKQ2Cz6W2HeFHDa","https://api.spotify.com/v1/tracks/2TgRn7IIKQ2Cz6W2HeFHDa"
"35hOqaormK3Y1JIIRlu0z7","234573","159.702","4","8","1","0.267","0.42","0.372","0.941","0.0864","-18.841","0.0354","0.348","https://api.spotify.com/v1/audio-analysis/35hOqaormK3Y1JIIRlu0z7","https://api.spotify.com/v1/tracks/35hOqaormK3Y1JIIRlu0z7"
"6qSfa2GxfsUwC2SLQYCxII","181533","155.019","4","5","0","0.249","0.569","0.793","0.000171","0.329","-9.945","0.185","0.651","https://api.spotify.com/v1/audio-analysis/6qSfa2GxfsUwC2SLQYCxII","https://api.spotify.com/v1/tracks/6qSfa2GxfsUwC2SLQYCxII"
"4uzVoSf040mGUEkqDkeCja","166893","129.95","4","1","1","0.449","0.602","0.447","0.921","0.228","-11.078","0.0312","0.77","https://api.spotify.com/v1/audio-analysis/4uzVoSf040mGUEkqDkeCja","https://api.spotify.com/v1/tracks/4uzVoSf040mGUEkqDkeCja"
"3mbzbJtgefpMFJHa6uwsG8","222933","161.928","3","10","0","0.0252","0.44","0.86","0.294","0.276","-8.517","0.0621","0.309","https://api.spotify.com/v1/audio-analysis/3mbzbJtgefpMFJHa6uwsG8","https://api.spotify.com/v1/tracks/3mbzbJtgefpMFJHa6uwsG8"
"6NbVLX9AOJpNIRD1XoZhe4","225813","109.892","3","5","0","0.0545","0.475","0.406","0.889","0.199","-9.468","0.0287","0.216","https://api.spotify.com/v1/audio-analysis/6NbVLX9AOJpNIRD1XoZhe4","https://api.spotify.com/v1/tracks/6NbVLX9AOJpNIRD1XoZhe4"
"5I0MXNXQE7wbbWoUmtk1jT","175773","159.997","4","5","1","0.268","0.603","0.602","0.751","0.361","-13.263","0.0528","0.349","https://api.spotify.com/v1/audio-analysis/5I0MXNXQE7wbbWoUmtk1jT","https://api.spotify.com/v1/tracks/5I0MXNXQE7wbbWoUmtk1jT"
"3bfft7kWZaysqVnSabs0IS","84573","103.492","3","5","1","0.477","0.725","0.467","0.00192","0.191","-12.814","0.154","0.522","https://api.spotify.com/v1/audio-analysis/3bfft7kWZaysqVnSabs0IS","https://api.spotify.com/v1/tracks/3bfft7kWZaysqVnSabs0IS"
"5fEj1V9E1kELAWA3ILSfS8","74253","140.051","4","7","1","0.818","0.716","0.372","0.889","0.135","-10.735","0.125","0.124","https://api.spotify.com/v1/audio-analysis/5fEj1V9E1kELAWA3ILSfS8","https://api.spotify.com/v1/tracks/5fEj1V9E1kELAWA3ILSfS8"
"5tJPA3yv2W0qJMIJeQLIos","95493","128.031","4","6","1","0.88","0.637","0.281","0.912","0.101","-12.096","0.0489","0.316","https://api.spotify.com/v1/audio-analysis/5tJPA3yv2W0qJMIJeQLIos","https://api.spotify.com/v1/tracks/5tJPA3yv2W0qJMIJeQLIos"
"7B6pM2QV8E3yI0i3sROfQD","82053","173.942","4","9","1","0.915","0.496","0.185","0.973","0.28","-15.295","0.037","0.746","https://api.spotify.com/v1/audio-analysis/7B6pM2QV8E3yI0i3sROfQD","https://api.spotify.com/v1/tracks/7B6pM2QV8E3yI0i3sROfQD"
"7biddyPg9wdtMXF68PEa91","83613","120.149","3","4","1","0.583","0.569","0.353","4.78e-05","0.0772","-10.739","0.0365","0.616","https://api.spotify.com/v1/audio-analysis/7biddyPg9wdtMXF68PEa91","https://api.spotify.com/v1/tracks/7biddyPg9wdtMXF68PEa91"
"6N3X8Ym5KuaqgmsDHGhyCF","90133","109.962","3","10","1","0.785","0.546","0.265","0.00056","0.0963","-9.846","0.0349","0.284","https://api.spotify.com/v1/audio-analysis/6N3X8Ym5KuaqgmsDHGhyCF","https://api.spotify.com/v1/tracks/6N3X8Ym5KuaqgmsDHGhyCF"
"58tEmH0IzG6NRaDYX4QB1H","67640","117.943","3","6","0","0.865","0.566","0.262","0.77","0.106","-15.053","0.0506","0.0987","https://api.spotify.com/v1/audio-analysis/58tEmH0IzG6NRaDYX4QB1H","https://api.spotify.com/v1/tracks/58tEmH0IzG6NRaDYX4QB1H"
"1AueP3h30DGfwuxMlkN5sV","165933","189.905","3","11","1","0.489","0.561","0.319","0.118","0.0932","-10.569","0.0362","0.8","https://api.spotify.com/v1/audio-analysis/1AueP3h30DGfwuxMlkN5sV","https://api.spotify.com/v1/tracks/1AueP3h30DGfwuxMlkN5sV"
"52t9OcPIR9LkbHkBslpsj3","192093","180.134","4","10","1","0.471","0.472","0.458","0.792","0.188","-9.998","0.0268","0.562","https://api.spotify.com/v1/audio-analysis/52t9OcPIR9LkbHkBslpsj3","https://api.spotify.com/v1/tracks/52t9OcPIR9LkbHkBslpsj3"
"2ERA79J8as5Fu9WvP9Garn","122493","160.313","4","8","1","0.765","0.542","0.311","0.897","0.164","-11.411","0.0336","0.334","https://api.spotify.com/v1/audio-analysis/2ERA79J8as5Fu9WvP9Garn","https://api.spotify.com/v1/tracks/2ERA79J8as5Fu9WvP9Garn"
"62D22x2UrAdu2ISAf3ypkT","169533","148.009","4","5","1","0.48","0.497","0.586","0.978","0.218","-9.559","0.0347","0.522","https://api.spotify.com/v1/audio-analysis/62D22x2UrAdu2ISAf3ypkT","https://api.spotify.com/v1/tracks/62D22x2UrAdu2ISAf3ypkT"
"3Y2MDejZOnRvCSad9F7S8z","164373","82.029","4","4","1","0.985","0.711","0.0696","0.633","0.0722","-16.359","0.0542","0.314","https://api.spotify.com/v1/audio-analysis/3Y2MDejZOnRvCSad9F7S8z","https://api.spotify.com/v1/tracks/3Y2MDejZOnRvCSad9F7S8z"
"5PTS8OtIfmauM8UbyZfJ2N","167133","138.027","3","7","1","0.604","0.461","0.527","0.732","0.278","-9.208","0.0323","0.463","https://api.spotify.com/v1/audio-analysis/5PTS8OtIfmauM8UbyZfJ2N","https://api.spotify.com/v1/tracks/5PTS8OtIfmauM8UbyZfJ2N"
"4vgjEevDM9pSa4PZgnvq2d","195813","141.966","4","8","1","0.867","0.529","0.403","0.666","0.0997","-10.215","0.0307","0.335","https://api.spotify.com/v1/audio-analysis/4vgjEevDM9pSa4PZgnvq2d","https://api.spotify.com/v1/tracks/4vgjEevDM9pSa4PZgnvq2d"
"1TVJJ4Cnef2zrfZxEeor0Z","250893","143.911","3","2","1","0.567","0.429","0.327","0.172","0.192","-9.182","0.029","0.342","https://api.spotify.com/v1/audio-analysis/1TVJJ4Cnef2zrfZxEeor0Z","https://api.spotify.com/v1/tracks/1TVJJ4Cnef2zrfZxEeor0Z"
"4BqzkeCTIiAQB5UYn7BRRE","224613","76.082","4","11","0","0.505","0.409","0.415","0.241","0.313","-9.569","0.0268","0.245","https://api.spotify.com/v1/audio-analysis/4BqzkeCTIiAQB5UYn7BRRE","https://api.spotify.com/v1/tracks/4BqzkeCTIiAQB5UYn7BRRE"
"5uF5f3VM9NSZGRznMFpkIx","213213","80.003","1","2","0","0.983","0.392","0.18","0.782","0.118","-13.515","0.0334","0.0827","https://api.spotify.com/v1/audio-analysis/5uF5f3VM9NSZGRznMFpkIx","https://api.spotify.com/v1/tracks/5uF5f3VM9NSZGRznMFpkIx"
"5vQ2vVHy2q6mI9sufNgjFb","147573","136.938","4","5","1","0.723","0.623","0.451","0.253","0.277","-8.155","0.0296","0.415","https://api.spotify.com/v1/audio-analysis/5vQ2vVHy2q6mI9sufNgjFb","https://api.spotify.com/v1/tracks/5vQ2vVHy2q6mI9sufNgjFb"
"762gWRT48jLDxlKsmMvFl0","198573","121.875","4","6","1","0.986","0.26","0.0743","0.0178","0.108","-17.78","0.0385","0.0348","https://api.spotify.com/v1/audio-analysis/762gWRT48jLDxlKsmMvFl0","https://api.spotify.com/v1/tracks/762gWRT48jLDxlKsmMvFl0"
"26YA5y8T9tCCf0xYfBILXf","241773","133.975","4","4","0","0.0144","0.464","0.772","0.322","0.335","-9.196","0.0767","0.274","https://api.spotify.com/v1/audio-analysis/26YA5y8T9tCCf0xYfBILXf","https://api.spotify.com/v1/tracks/26YA5y8T9tCCf0xYfBILXf"
"3OkhDAsVYEIHqRnWooLtc3","574773","85.031","4","2","1","0.846","0.153","0.242","0.81","0.0837","-13.256","0.0313","0.133","https://api.spotify.com/v1/audio-analysis/3OkhDAsVYEIHqRnWooLtc3","https://api.spotify.com/v1/tracks/3OkhDAsVYEIHqRnWooLtc3"
"2k27Kz7XDofGiVv0gH0BOo","514933","86.012","4","2","1","0.839","0.46","0.207","0.542","0.309","-11.925","0.0288","0.0949","https://api.spotify.com/v1/audio-analysis/2k27Kz7XDofGiVv0gH0BOo","https://api.spotify.com/v1/tracks/2k27Kz7XDofGiVv0gH0BOo"
