"id","isrc","name","popularity","duration_ms","disc_number","track_number","spotify_external_url","preview_url","api_href"
"13c3JxTtiNB0gTiqRQo89j","JPM200500492","ぶっつけろ!やっつけろ!","0","65106","1","33","https://open.spotify.com/track/13c3JxTtiNB0gTiqRQo89j","https://p.scdn.co/mp3-preview/1ca5d05067c328c06167c68dcf0550e2f65e27d4?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/13c3JxTtiNB0gTiqRQo89j"
"4Pv4WM6iBLl5TfetX3WwFP","JPM200500493","猫並みにすごいぜ!","0","47893","1","34","https://open.spotify.com/track/4Pv4WM6iBLl5TfetX3WwFP","https://p.scdn.co/mp3-preview/87ed0fa441fba5af357f77e1641df4d759308957?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/4Pv4WM6iBLl5TfetX3WwFP"
"3eoILD16g8H9thR4cDV4QF","JPM200500494","ファンファーレ","0","8573","1","35","https://open.spotify.com/track/3eoILD16g8H9thR4cDV4QF","https://p.scdn.co/mp3-preview/6f4dd9f0e5b64070e09eab866b8e469e7225127d?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/3eoILD16g8H9thR4cDV4QF"
"1zEV46oxyxaTDzrUH8devj","JPM200500495","がっくり","0","6100","1","36","https://open.spotify.com/track/1zEV46oxyxaTDzrUH8devj","https://p.scdn.co/mp3-preview/903b343a72db9ab93d51e0ec5ecf6e1f00dab089?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1zEV46oxyxaTDzrUH8devj"
"30MSYNpix6CwIEKCmjY3CM","JPM200500496","本拠地その2","1","112226","2","1","https://open.spotify.com/track/30MSYNpix6CwIEKCmjY3CM","https://p.scdn.co/mp3-preview/4093b40eed9a61a5fec59b8a615a95bd76427b8d?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/30MSYNpix6CwIEKCmjY3CM"
"01D9TAzB6NDlSPKBAfU2Cl","JPM200500497","輝ける海よ!空よ!","1","104306","2","2","https://open.spotify.com/track/01D9TAzB6NDlSPKBAfU2Cl","https://p.scdn.co/mp3-preview/80f8b25f8c3fa29ad709f0f4d04590885e0c9888?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/01D9TAzB6NDlSPKBAfU2Cl"
"3AhwayuN1pCV60U3kF4YWi","JPM200500498","大海原の戦2","0","79133","2","3","https://open.spotify.com/track/3AhwayuN1pCV60U3kF4YWi","https://p.scdn.co/mp3-preview/3c9627e429e22d4b7884226ba28baac403e5899d?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/3AhwayuN1pCV60U3kF4YWi"
"43aIkGpejKbfo3f3oTMIiQ","JPM200500499","忍び寄る影","0","63760","2","4","https://open.spotify.com/track/43aIkGpejKbfo3f3oTMIiQ","https://p.scdn.co/mp3-preview/3b5f9443ba400382fbc68bf843d5f92c31a77306?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/43aIkGpejKbfo3f3oTMIiQ"
"2RY9hVXREj713MaX7n9o7L","JPM200500500","丘をのぼって","1","108733","2","5","https://open.spotify.com/track/2RY9hVXREj713MaX7n9o7L","https://p.scdn.co/mp3-preview/5e340c7a544696dd9c9f5d24182cac64e0f41a1e?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2RY9hVXREj713MaX7n9o7L"
"18MHz3mgyZ7A4fNLoXQOUz","JPM200500501","ネコの里","0","107440","2","6","https://open.spotify.com/track/18MHz3mgyZ7A4fNLoXQOUz","https://p.scdn.co/mp3-preview/3129391399e0689217b2c42a4a22e27871fc0c49?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/18MHz3mgyZ7A4fNLoXQOUz"
"0SzoLt3BOi3fl0MpHFMJb0","JPM200500502","宿命の対決","1","81400","2","7","https://open.spotify.com/track/0SzoLt3BOi3fl0MpHFMJb0","https://p.scdn.co/mp3-preview/8568f45baf3cf45ea01f0ea208bff47698a63ea5?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0SzoLt3BOi3fl0MpHFMJb0"
"4LbC6ndXqARKScyfyjUs9k","JPM200500503","青磁の海","0","87933","2","8","https://open.spotify.com/track/4LbC6ndXqARKScyfyjUs9k","https://p.scdn.co/mp3-preview/8fa162053eba161566835d7e730fa80b7a269f5f?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/4LbC6ndXqARKScyfyjUs9k"
"01KONWc4BMWzyh0lwBYyM4","JPM200500504","華麗なる大剣使い","1","58200","2","9","https://open.spotify.com/track/01KONWc4BMWzyh0lwBYyM4","https://p.scdn.co/mp3-preview/50dd1e74a27d8f52164289202678c5e6e555613b?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/01KONWc4BMWzyh0lwBYyM4"
"4qBTofvLJ4DlPK7R858JDk","JPM200500505","魅惑の紋章師","0","61893","2","10","https://open.spotify.com/track/4qBTofvLJ4DlPK7R858JDk","https://p.scdn.co/mp3-preview/85fe4a64bd69f223493df0344debc562fa417941?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/4qBTofvLJ4DlPK7R858JDk"
"0qPyOhJocyDTwFyRscTRKd","JPM200500506","シーサイド・スプリング","0","90706","2","11","https://open.spotify.com/track/0qPyOhJocyDTwFyRscTRKd","https://p.scdn.co/mp3-preview/f7cfe621056ce3234fe25101532aefd6aed46ecc?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0qPyOhJocyDTwFyRscTRKd"
"0EIDo3h2Pi3ypg5LXDuloy","JPM200500507","悔悛の唄","0","122893","2","12","https://open.spotify.com/track/0EIDo3h2Pi3ypg5LXDuloy","https://p.scdn.co/mp3-preview/e18c28cf709d5e82dda142bcbe18c851c1d7ba42?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0EIDo3h2Pi3ypg5LXDuloy"
"6ClgHKP1idrJtTx6jitb5W","JPM200500508","神様ありがとう","0","11240","2","13","https://open.spotify.com/track/6ClgHKP1idrJtTx6jitb5W","https://p.scdn.co/mp3-preview/aa1bc1f868e5279216ca2067784b1a3bb142864b?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6ClgHKP1idrJtTx6jitb5W"
"6fgUnO9LOGSEs4Q6wdOWCn","JPM200500509","Let's go & try!","0","56933","2","14","https://open.spotify.com/track/6fgUnO9LOGSEs4Q6wdOWCn","https://p.scdn.co/mp3-preview/3b5cbcfd5277d6b7d47905060de4fef10cdb8134?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6fgUnO9LOGSEs4Q6wdOWCn"
