"disc_number","duration_ms","isrc","href","spotify_external_url","id","name","popularity","preview_url","track_number"
"1","111960","JPM201801790","https://api.spotify.com/v1/tracks/09R5Mt1iaTIi3hbgSBQEYw","https://open.spotify.com/track/09R5Mt1iaTIi3hbgSBQEYw","09R5Mt1iaTIi3hbgSBQEYw","プロローグ ~幻想の世界へ(タイトルBGM)","6","https://p.scdn.co/mp3-preview/8f04022871c889a7fdf08651f31276e2206a6e3b?cid=2cd620d784d247ac9def2fbe55de1ad1","1"
"1","76440","JPM201801791","https://api.spotify.com/v1/tracks/0NpSRjiqcrTZUfZVjgbDBP","https://open.spotify.com/track/0NpSRjiqcrTZUfZVjgbDBP","0NpSRjiqcrTZUfZVjgbDBP","プロローグ ~始まりのテーマ(名前入力画面BGMほか)","2","https://p.scdn.co/mp3-preview/7fda0c77071dfc97c9997ccf792a8aff8e33792b?cid=2cd620d784d247ac9def2fbe55de1ad1","2"
"1","162626","JPM201801792","https://api.spotify.com/v1/tracks/0V8Gv3MkN3j21HAF0pKGZH","https://open.spotify.com/track/0V8Gv3MkN3j21HAF0pKGZH","0V8Gv3MkN3j21HAF0pKGZH","第1章「謁見」 ~王宮の調べ(グレッグミンスター城BGM)","1","https://p.scdn.co/mp3-preview/4d7969fb30e44cdd86c276e278402b92869746db?cid=2cd620d784d247ac9def2fbe55de1ad1","3"
"1","140306","JPM201801793","https://api.spotify.com/v1/tracks/4jF9xL9OGTStCVZAyfR79X","https://open.spotify.com/track/4jF9xL9OGTStCVZAyfR79X","4jF9xL9OGTStCVZAyfR79X","第1章「謁見」 ~帝国よ永遠に(イベント「皇帝謁見」)","1","https://p.scdn.co/mp3-preview/3ed1d29a1767bc2b9daebf3a9827155532f1860e?cid=2cd620d784d247ac9def2fbe55de1ad1","4"
"1","129800","JPM201801794","https://api.spotify.com/v1/tracks/0HNvZDLu2sKAykuaIKuwOH","https://open.spotify.com/track/0HNvZDLu2sKAykuaIKuwOH","0HNvZDLu2sKAykuaIKuwOH","第1章「謁見」 ~美しき黄金の都(グレッグミンスターBGM)","4","https://p.scdn.co/mp3-preview/d1434a80ecfe3c5333b733d3088a8daf34212755?cid=2cd620d784d247ac9def2fbe55de1ad1","5"
"1","122360","JPM201801795","https://api.spotify.com/v1/tracks/7Ie83Rv8cZfHLhBNqWfdc8","https://open.spotify.com/track/7Ie83Rv8cZfHLhBNqWfdc8","7Ie83Rv8cZfHLhBNqWfdc8","第1章「謁見」 ~メインテーマアレンジ~ギター編(イベント「おうちに帰ろう」より)","4","https://p.scdn.co/mp3-preview/926efe3354c3d8c8a12f77405677aa79918ddf68?cid=2cd620d784d247ac9def2fbe55de1ad1","6"
"1","29906","JPM201801796","https://api.spotify.com/v1/tracks/4EiBbyPkRl1lzjlJ8kVFuD","https://open.spotify.com/track/4EiBbyPkRl1lzjlJ8kVFuD","4EiBbyPkRl1lzjlJ8kVFuD","第2章「初仕事」 ~飛べ!ブラック(イベント「ブラック飛行」より)","0","https://p.scdn.co/mp3-preview/088ab420944bac2980d6e2d3a800f93272b210fa?cid=2cd620d784d247ac9def2fbe55de1ad1","7"
"1","166826","JPM201801797","https://api.spotify.com/v1/tracks/0XtRFbGXTrWr5NJG8pzxB6","https://open.spotify.com/track/0XtRFbGXTrWr5NJG8pzxB6","0XtRFbGXTrWr5NJG8pzxB6","第2章「初仕事」 ~黒い森(レックナートの屋敷BGM)","1","https://p.scdn.co/mp3-preview/cd4fc032d10c34ad7912aedd40a5b48b8b454d7b?cid=2cd620d784d247ac9def2fbe55de1ad1","8"
"1","122973","JPM201801798","https://api.spotify.com/v1/tracks/2KdvtI4lSXJjzXvvPkbYwi","https://open.spotify.com/track/2KdvtI4lSXJjzXvvPkbYwi","2KdvtI4lSXJjzXvvPkbYwi","第2章「初仕事」 ~感動のテーマ(イベント「レックナートのお告げ」より)","2","https://p.scdn.co/mp3-preview/499354e7b4987f0288bbf0ada7d95899e88882d9?cid=2cd620d784d247ac9def2fbe55de1ad1","9"
"1","114160","JPM201801799","https://api.spotify.com/v1/tracks/0lfkXjQvvZbrLzouRXjHfH","https://open.spotify.com/track/0lfkXjQvvZbrLzouRXjHfH","0lfkXjQvvZbrLzouRXjHfH","第2章「初仕事」 ~大草原の小さなキャラ(フィールドBGM1)","1","https://p.scdn.co/mp3-preview/fb5a54b0918e571b2b2c395760a32c5e31b3f6b5?cid=2cd620d784d247ac9def2fbe55de1ad1","10"
