"id","album_id","duration_ms","tempo","time_signature","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","api_analysis_url","api_track_href"
"1nAkAes5ds2MCoxIj9cW4S","5XaEep3FhwLYuLBGmonbju","86493","137.89","4","7","1","0.0907","0.546","0.635","0.315","0.0538","-7.625","0.0337","0.132","https://api.spotify.com/v1/audio-analysis/1nAkAes5ds2MCoxIj9cW4S","https://api.spotify.com/v1/tracks/1nAkAes5ds2MCoxIj9cW4S"
"2m1v5XwiSVgSuu52AnyyHM","5XaEep3FhwLYuLBGmonbju","81867","180.019","3","2","1","0.653","0.369","0.813","0.944","0.074","-7.678","0.0411","0.248","https://api.spotify.com/v1/audio-analysis/2m1v5XwiSVgSuu52AnyyHM","https://api.spotify.com/v1/tracks/2m1v5XwiSVgSuu52AnyyHM"
"0TrmPuxY1KsWZgriXC76x6","5XaEep3FhwLYuLBGmonbju","82733","152.142","3","7","1","0.0355","0.584","0.571","0.88","0.0773","-7.838","0.0324","0.852","https://api.spotify.com/v1/audio-analysis/0TrmPuxY1KsWZgriXC76x6","https://api.spotify.com/v1/tracks/0TrmPuxY1KsWZgriXC76x6"
"2izv6yYAnKX9Qj70pGuUTR","5XaEep3FhwLYuLBGmonbju","7907","0","0","10","1","0","0","0.00484","0.00105","0","-17.366","0","0","https://api.spotify.com/v1/audio-analysis/2izv6yYAnKX9Qj70pGuUTR","https://api.spotify.com/v1/tracks/2izv6yYAnKX9Qj70pGuUTR"
"372YyOo1RbA8XzE9B0Q0Ki","5XaEep3FhwLYuLBGmonbju","65827","106.956","5","2","0","0.51","0.511","0.641","0.937","0.18","-6.499","0.04","0.53","https://api.spotify.com/v1/audio-analysis/372YyOo1RbA8XzE9B0Q0Ki","https://api.spotify.com/v1/tracks/372YyOo1RbA8XzE9B0Q0Ki"
"08IAK3YyBBWVRSLV9Ar1Mc","5XaEep3FhwLYuLBGmonbju","55573","134.881","4","0","1","0.125","0.53","0.555","0.00127","0.278","-8.193","0.0406","0.45","https://api.spotify.com/v1/audio-analysis/08IAK3YyBBWVRSLV9Ar1Mc","https://api.spotify.com/v1/tracks/08IAK3YyBBWVRSLV9Ar1Mc"
"4A7q8YcxBWyM9M52rX4gf0","5XaEep3FhwLYuLBGmonbju","82893","105.19","4","7","0","0.644","0.61","0.301","0.936","0.403","-8.088","0.0273","0.752","https://api.spotify.com/v1/audio-analysis/4A7q8YcxBWyM9M52rX4gf0","https://api.spotify.com/v1/tracks/4A7q8YcxBWyM9M52rX4gf0"
"2Hb5DuNqpdqjoP5nder4nr","5XaEep3FhwLYuLBGmonbju","95800","168.294","3","0","1","0.831","0.605","0.592","0.949","0.0952","-9.983","0.0481","0.845","https://api.spotify.com/v1/audio-analysis/2Hb5DuNqpdqjoP5nder4nr","https://api.spotify.com/v1/tracks/2Hb5DuNqpdqjoP5nder4nr"
"5TUj0poAFzzx6zInhJjadA","5XaEep3FhwLYuLBGmonbju","120173","128.242","4","7","1","0.767","0.579","0.346","0.941","0.109","-13.126","0.0352","0.463","https://api.spotify.com/v1/audio-analysis/5TUj0poAFzzx6zInhJjadA","https://api.spotify.com/v1/tracks/5TUj0poAFzzx6zInhJjadA"
"0wAsVh1RPKANLDkGNn7zVT","5XaEep3FhwLYuLBGmonbju","87467","146.031","3","2","0","0.657","0.686","0.719","0.992","0.146","-11.216","0.0355","0.75","https://api.spotify.com/v1/audio-analysis/0wAsVh1RPKANLDkGNn7zVT","https://api.spotify.com/v1/tracks/0wAsVh1RPKANLDkGNn7zVT"
"5eGXg5vaSrixqy7eFzPWEq","5XaEep3FhwLYuLBGmonbju","87600","79.779","4","0","1","0.15","0.198","0.612","0.0463","0.299","-6.052","0.0449","0.172","https://api.spotify.com/v1/audio-analysis/5eGXg5vaSrixqy7eFzPWEq","https://api.spotify.com/v1/tracks/5eGXg5vaSrixqy7eFzPWEq"
"1ZahLBXKmrYYn43fM2eKqJ","5XaEep3FhwLYuLBGmonbju","99867","174.116","4","0","1","0.533","0.681","0.325","0.921","0.0906","-8.337","0.0331","0.471","https://api.spotify.com/v1/audio-analysis/1ZahLBXKmrYYn43fM2eKqJ","https://api.spotify.com/v1/tracks/1ZahLBXKmrYYn43fM2eKqJ"
"1jWvTZChaHbgN6XQdvrjl1","5XaEep3FhwLYuLBGmonbju","45000","115.116","4","1","0","0.938","0.777","0.251","0.898","0.111","-14.55","0.224","0.18","https://api.spotify.com/v1/audio-analysis/1jWvTZChaHbgN6XQdvrjl1","https://api.spotify.com/v1/tracks/1jWvTZChaHbgN6XQdvrjl1"
"0nmBjLZmKvoSGidouWcpmX","5XaEep3FhwLYuLBGmonbju","96560","159.43","4","7","1","0.179","0.476","0.0727","0.00033","0.0945","-15.996","0.0513","0.495","https://api.spotify.com/v1/audio-analysis/0nmBjLZmKvoSGidouWcpmX","https://api.spotify.com/v1/tracks/0nmBjLZmKvoSGidouWcpmX"
"3waulQ1smo0IOUbpD1Dpwy","5XaEep3FhwLYuLBGmonbju","67707","68.61","3","7","1","0.937","0.493","0.202","0.979","0.133","-15.958","0.0413","0.0683","https://api.spotify.com/v1/audio-analysis/3waulQ1smo0IOUbpD1Dpwy","https://api.spotify.com/v1/tracks/3waulQ1smo0IOUbpD1Dpwy"
"2eDQVsNOduLWEcZAGf35q8","5XaEep3FhwLYuLBGmonbju","11693","0","0","9","1","0.981","0","0.0418","0.997","0.112","-15.053","0","0","https://api.spotify.com/v1/audio-analysis/2eDQVsNOduLWEcZAGf35q8","https://api.spotify.com/v1/tracks/2eDQVsNOduLWEcZAGf35q8"
"0c0XJEWztjyZMNVXARmLSS","5XaEep3FhwLYuLBGmonbju","81440","83.003","3","7","1","0.121","0.5","0.827","0.257","0.36","-4.992","0.0416","0.102","https://api.spotify.com/v1/audio-analysis/0c0XJEWztjyZMNVXARmLSS","https://api.spotify.com/v1/tracks/0c0XJEWztjyZMNVXARmLSS"
"2R8uk983Ryux6KBzEWRwY2","5XaEep3FhwLYuLBGmonbju","92493","129.94","4","0","1","3.83e-05","0.543","0.648","0.866","0.31","-8.525","0.0321","0.763","https://api.spotify.com/v1/audio-analysis/2R8uk983Ryux6KBzEWRwY2","https://api.spotify.com/v1/tracks/2R8uk983Ryux6KBzEWRwY2"
"0oKNWJYy2p53ij0acLfnrd","5XaEep3FhwLYuLBGmonbju","112573","127.2","4","7","1","0.0585","0.715","0.386","0.722","0.102","-10.199","0.0361","0.804","https://api.spotify.com/v1/audio-analysis/0oKNWJYy2p53ij0acLfnrd","https://api.spotify.com/v1/tracks/0oKNWJYy2p53ij0acLfnrd"
