"id","name","popularity","spotify_external_url","image_url","image_height","api_href"
"1TYnZ36ebN5zEe1mGjTng0","Konami Kukeiha Club","29","https://open.spotify.com/artist/1TYnZ36ebN5zEe1mGjTng0","https://i.scdn.co/image/ab67616d0000b2732a108105c22e029fd7bd3da1","640","https://api.spotify.com/v1/artists/1TYnZ36ebN5zEe1mGjTng0"
"6RG3jUoSKsNyZwN1LGZvgB","幻想水滸伝音楽チーム","10","https://open.spotify.com/artist/6RG3jUoSKsNyZwN1LGZvgB","https://i.scdn.co/image/ab67616d0000b273be583ca657ab9054cfbe44d7","640","https://api.spotify.com/v1/artists/6RG3jUoSKsNyZwN1LGZvgB"
"1ZrqfNH4qzjjY3yYqDsL2L","幻想水滸伝ティアクライス音楽チーム","3","https://open.spotify.com/artist/1ZrqfNH4qzjjY3yYqDsL2L","https://i.scdn.co/image/ab67616d0000b273cc21fd844921828f624e2006","640","https://api.spotify.com/v1/artists/1ZrqfNH4qzjjY3yYqDsL2L"
"0I2lhUQ5NcvhSLm5MYNR3C","幻想水滸伝サウンドチーム","0","https://open.spotify.com/artist/0I2lhUQ5NcvhSLm5MYNR3C","https://i.scdn.co/image/ab67616d0000b2734868c0165b05f62e06227547","640","https://api.spotify.com/v1/artists/0I2lhUQ5NcvhSLm5MYNR3C"
