"id","isrc","name","popularity","duration_ms","disc_number","track_number","spotify_external_url","preview_url","api_href"
"1NJZWSKhR2mMVG45z5TkVi","JPM201001926","夜の歌 ~本拠地・夜BGM~","0","134253","1","16","https://open.spotify.com/track/1NJZWSKhR2mMVG45z5TkVi","https://p.scdn.co/mp3-preview/b7660dc654e8283cc507aff1755c8b2aaf75b4a4?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1NJZWSKhR2mMVG45z5TkVi"
"1F9Bg5RkJHF4bmTPsUMCGb","JPM201001927","素材集め狩猟場 ~ハンティングBGM~","0","169173","1","17","https://open.spotify.com/track/1F9Bg5RkJHF4bmTPsUMCGb","https://p.scdn.co/mp3-preview/c6c9c8022e077a0078df4b0dc16f9dac949d9737?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1F9Bg5RkJHF4bmTPsUMCGb"
"26nEBWVLzLipsm3QilZC4Z","JPM201001928","魔術と呪術の源 ~ダンジョン準備画面BGM~","0","153813","1","18","https://open.spotify.com/track/26nEBWVLzLipsm3QilZC4Z","https://p.scdn.co/mp3-preview/06942ff3bdff94e5f8e1849d950853c64f898c79?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/26nEBWVLzLipsm3QilZC4Z"
"6rCntACKhB926CGBrUMwua","JPM201001929","ダンジョンフィールド ~ダンジョンメーカー会話BGM~","0","167853","1","19","https://open.spotify.com/track/6rCntACKhB926CGBrUMwua","https://p.scdn.co/mp3-preview/718dd7f62de5c054d40f486badb96be6677f4756?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6rCntACKhB926CGBrUMwua"
"1F9U9w3SvQYK0UdVo7Nsep","JPM201001930","計画と経過 ~ダンジョンフィールド・ログ画面BGM~","0","156493","1","20","https://open.spotify.com/track/1F9U9w3SvQYK0UdVo7Nsep","https://p.scdn.co/mp3-preview/c6dfd0dca36261358509f1934482df9101a35c42?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/1F9U9w3SvQYK0UdVo7Nsep"
"2QfuKBjGsMmEPclsbeWTZf","JPM201001953","料理の逸人 ~夕食選択画面BGM~","0","103293","1","21","https://open.spotify.com/track/2QfuKBjGsMmEPclsbeWTZf","https://p.scdn.co/mp3-preview/fcd71bef7f3f8141afd68d0921156ecfa66c078b?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2QfuKBjGsMmEPclsbeWTZf"
"0a1cOH2cwhyesEvNzEwm9t","JPM201001954","楽しい食卓 ~夕食BGM~","0","130173","1","22","https://open.spotify.com/track/0a1cOH2cwhyesEvNzEwm9t","https://p.scdn.co/mp3-preview/4ecaffc73b356c0a01170316393ff16173601f10?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0a1cOH2cwhyesEvNzEwm9t"
"2L1qo7koQLNGgyd8oABggP","JPM201001955","砦の平穏 ~本拠地母屋BGM~","0","131973","1","23","https://open.spotify.com/track/2L1qo7koQLNGgyd8oABggP","https://p.scdn.co/mp3-preview/59a745063db5995a03bdceddd748476889e24d2b?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2L1qo7koQLNGgyd8oABggP"
"20n3ki2905rZJuGU1NRVt6","JPM201001956","時を超えて ~メニュー画面BGM~","0","194253","1","24","https://open.spotify.com/track/20n3ki2905rZJuGU1NRVt6","https://p.scdn.co/mp3-preview/03a9e18215441c171ff2626fec8af473811097fc?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/20n3ki2905rZJuGU1NRVt6"
"3FYkLrUe9iO3K6oQk0I0Jt","JPM201001957","これまでの軌跡 ~図鑑観賞BGM~","0","190533","1","25","https://open.spotify.com/track/3FYkLrUe9iO3K6oQk0I0Jt","https://p.scdn.co/mp3-preview/129cba6ab1f9655f3ba650be653163e982b54f72?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/3FYkLrUe9iO3K6oQk0I0Jt"
