"id","album_id","duration_ms","tempo","time_signature","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","api_analysis_url","api_track_href"
"5cKFBjwl4gmnk168YhgDFU","2bZlVti3G35TXHANYliIUF","119440","99.956","4","7","1","0.328","0.498","0.665","0.746","0.375","-10.559","0.0418","0.618","https://api.spotify.com/v1/audio-analysis/5cKFBjwl4gmnk168YhgDFU","https://api.spotify.com/v1/tracks/5cKFBjwl4gmnk168YhgDFU"
"67lXC1QKKNKTYnOAe45ok0","2bZlVti3G35TXHANYliIUF","100040","174.116","3","9","1","0.149","0.504","0.568","0.000194","0.432","-8.606","0.0902","0.491","https://api.spotify.com/v1/audio-analysis/67lXC1QKKNKTYnOAe45ok0","https://api.spotify.com/v1/tracks/67lXC1QKKNKTYnOAe45ok0"
"27SZvOFUHsWu0ax3FDf6WA","2bZlVti3G35TXHANYliIUF","128280","115.962","5","9","0","0.0111","0.689","0.651","0.835","0.34","-10.586","0.0274","0.466","https://api.spotify.com/v1/audio-analysis/27SZvOFUHsWu0ax3FDf6WA","https://api.spotify.com/v1/tracks/27SZvOFUHsWu0ax3FDf6WA"
"09MQl3tnH7Vp00QD6Rgf88","2bZlVti3G35TXHANYliIUF","67653","144.01","4","6","0","0.0054","0.683","0.644","0.852","0.0855","-13.574","0.0616","0.682","https://api.spotify.com/v1/audio-analysis/09MQl3tnH7Vp00QD6Rgf88","https://api.spotify.com/v1/tracks/09MQl3tnH7Vp00QD6Rgf88"
"56Fln2fLoL5HmUf4HuF70M","2bZlVti3G35TXHANYliIUF","88000","75.9","4","5","0","0.977","0.522","0.152","0.914","0.0982","-14.34","0.0331","0.231","https://api.spotify.com/v1/audio-analysis/56Fln2fLoL5HmUf4HuF70M","https://api.spotify.com/v1/tracks/56Fln2fLoL5HmUf4HuF70M"
"0KIqWMKRK9ELb4j9TfJtJm","2bZlVti3G35TXHANYliIUF","87987","102.545","3","4","1","0.835","0.576","0.366","0.626","0.623","-12.07","0.0325","0.481","https://api.spotify.com/v1/audio-analysis/0KIqWMKRK9ELb4j9TfJtJm","https://api.spotify.com/v1/tracks/0KIqWMKRK9ELb4j9TfJtJm"
"6g6Fm8DQXicME8GOuUqd0V","2bZlVti3G35TXHANYliIUF","77627","86.272","5","7","1","0.983","0.165","0.168","0.907","0.09","-14.598","0.034","0.188","https://api.spotify.com/v1/audio-analysis/6g6Fm8DQXicME8GOuUqd0V","https://api.spotify.com/v1/tracks/6g6Fm8DQXicME8GOuUqd0V"
"7nMksAZLPNBJ0z1FN44O4o","2bZlVti3G35TXHANYliIUF","116987","84.025","4","2","0","0.722","0.638","0.0456","0.433","0.134","-16.236","0.0307","0.108","https://api.spotify.com/v1/audio-analysis/7nMksAZLPNBJ0z1FN44O4o","https://api.spotify.com/v1/tracks/7nMksAZLPNBJ0z1FN44O4o"
"5OF8nKo4OUcZ3240IGZ1i2","2bZlVti3G35TXHANYliIUF","76893","122.146","1","10","0","0.776","0.175","0.115","0.421","0.0981","-17.134","0.0418","0.115","https://api.spotify.com/v1/audio-analysis/5OF8nKo4OUcZ3240IGZ1i2","https://api.spotify.com/v1/tracks/5OF8nKo4OUcZ3240IGZ1i2"
"4bnjkOdYZScjhw3iRzIEXG","2bZlVti3G35TXHANYliIUF","106373","136.882","4","4","0","0.978","0.188","0.114","0.963","0.077","-27.539","0.0374","0.12","https://api.spotify.com/v1/audio-analysis/4bnjkOdYZScjhw3iRzIEXG","https://api.spotify.com/v1/tracks/4bnjkOdYZScjhw3iRzIEXG"
"1090wbEFrSqSaEBYj70IR6","2bZlVti3G35TXHANYliIUF","81427","63.989","4","5","0","0.681","0.472","0.206","0.000951","0.101","-18.678","0.0415","0.171","https://api.spotify.com/v1/audio-analysis/1090wbEFrSqSaEBYj70IR6","https://api.spotify.com/v1/tracks/1090wbEFrSqSaEBYj70IR6"
"2V0qfcvrt7NBefk0VIUomK","2bZlVti3G35TXHANYliIUF","67320","150.731","4","9","1","0.628","0.507","0.3","0.0111","0.268","-11.858","0.0464","0.58","https://api.spotify.com/v1/audio-analysis/2V0qfcvrt7NBefk0VIUomK","https://api.spotify.com/v1/tracks/2V0qfcvrt7NBefk0VIUomK"
"5eJYHhQTuhDUFmLfNICbPP","2bZlVti3G35TXHANYliIUF","116360","123.01","4","9","0","0.000479","0.579","0.777","0.157","0.28","-10.936","0.0379","0.467","https://api.spotify.com/v1/audio-analysis/5eJYHhQTuhDUFmLfNICbPP","https://api.spotify.com/v1/tracks/5eJYHhQTuhDUFmLfNICbPP"
"5OwINz4CBuFg8QQmOrQetj","2bZlVti3G35TXHANYliIUF","88760","85.054","4","0","0","0.768","0.5","0.105","0.78","0.0957","-20.155","0.035","0.0822","https://api.spotify.com/v1/audio-analysis/5OwINz4CBuFg8QQmOrQetj","https://api.spotify.com/v1/tracks/5OwINz4CBuFg8QQmOrQetj"
"4tfFbuMEEFrTQ7jpMjjaH4","2bZlVti3G35TXHANYliIUF","151960","76.013","3","9","0","0.952","0.349","0.0622","0.866","0.123","-17.952","0.049","0.14","https://api.spotify.com/v1/audio-analysis/4tfFbuMEEFrTQ7jpMjjaH4","https://api.spotify.com/v1/tracks/4tfFbuMEEFrTQ7jpMjjaH4"
"0OTQwvisWtRP4b71jnO7p1","2bZlVti3G35TXHANYliIUF","117533","125.497","3","2","1","0.919","0.232","0.0178","0.932","0.094","-19.953","0.0561","0.0955","https://api.spotify.com/v1/audio-analysis/0OTQwvisWtRP4b71jnO7p1","https://api.spotify.com/v1/tracks/0OTQwvisWtRP4b71jnO7p1"
"48vZVs4BfPRAbD0moavaKk","2bZlVti3G35TXHANYliIUF","110253","79.83","1","9","0","0.99","0.394","0.0227","0.942","0.0724","-22.697","0.047","0.113","https://api.spotify.com/v1/audio-analysis/48vZVs4BfPRAbD0moavaKk","https://api.spotify.com/v1/tracks/48vZVs4BfPRAbD0moavaKk"
"3FnFxZsZWZN2e4vByWiOmJ","2bZlVti3G35TXHANYliIUF","180133","72.123","4","9","1","0.909","0.0858","0.0973","0.975","0.0928","-19.48","0.042","0.0371","https://api.spotify.com/v1/audio-analysis/3FnFxZsZWZN2e4vByWiOmJ","https://api.spotify.com/v1/tracks/3FnFxZsZWZN2e4vByWiOmJ"
"5n8xTh8sAr02FDRfLYMtB1","2bZlVti3G35TXHANYliIUF","104107","73.979","4","7","1","0.727","0.6","0.302","0.78","0.101","-15.127","0.0298","0.248","https://api.spotify.com/v1/audio-analysis/5n8xTh8sAr02FDRfLYMtB1","https://api.spotify.com/v1/tracks/5n8xTh8sAr02FDRfLYMtB1"
"7ngfRMTQpzji35WpBiMT6K","2bZlVti3G35TXHANYliIUF","116707","112.999","4","0","1","0.728","0.601","0.319","0.635","0.122","-17.19","0.0315","0.194","https://api.spotify.com/v1/audio-analysis/7ngfRMTQpzji35WpBiMT6K","https://api.spotify.com/v1/tracks/7ngfRMTQpzji35WpBiMT6K"
"5UsnLOh1nargzd8jq0VxJb","2bZlVti3G35TXHANYliIUF","86333","110.973","4","6","0","0.539","0.609","0.436","0.643","0.0892","-14.753","0.0429","0.389","https://api.spotify.com/v1/audio-analysis/5UsnLOh1nargzd8jq0VxJb","https://api.spotify.com/v1/tracks/5UsnLOh1nargzd8jq0VxJb"
"23v3Uz1pBagiVtMaLqSvxo","2bZlVti3G35TXHANYliIUF","64240","175.105","3","7","1","0.352","0.65","0.472","0.929","0.376","-13.763","0.0672","0.688","https://api.spotify.com/v1/audio-analysis/23v3Uz1pBagiVtMaLqSvxo","https://api.spotify.com/v1/tracks/23v3Uz1pBagiVtMaLqSvxo"
"6D8Z87WOlt4mW4CtPy0e6R","2bZlVti3G35TXHANYliIUF","103800","94.975","4","10","0","0.247","0.548","0.565","0.114","0.377","-13.247","0.0311","0.927","https://api.spotify.com/v1/audio-analysis/6D8Z87WOlt4mW4CtPy0e6R","https://api.spotify.com/v1/tracks/6D8Z87WOlt4mW4CtPy0e6R"
"0o5TqtdmdtZDjVHDbgRJ8k","2bZlVti3G35TXHANYliIUF","107813","110.972","4","1","1","0.0712","0.514","0.828","0.039","0.52","-9.978","0.0507","0.784","https://api.spotify.com/v1/audio-analysis/0o5TqtdmdtZDjVHDbgRJ8k","https://api.spotify.com/v1/tracks/0o5TqtdmdtZDjVHDbgRJ8k"
"3PIKRRitxajW9o01Himt1z","2bZlVti3G35TXHANYliIUF","56653","135.721","3","7","1","0.91","0.37","0.149","0.885","0.366","-11.315","0.0427","0.835","https://api.spotify.com/v1/audio-analysis/3PIKRRitxajW9o01Himt1z","https://api.spotify.com/v1/tracks/3PIKRRitxajW9o01Himt1z"
"2b42VhI5ylCP9TSzY3BiPL","2bZlVti3G35TXHANYliIUF","102667","159.997","5","9","0","0.0927","0.495","0.855","0.416","0.274","-10.641","0.0497","0.466","https://api.spotify.com/v1/audio-analysis/2b42VhI5ylCP9TSzY3BiPL","https://api.spotify.com/v1/tracks/2b42VhI5ylCP9TSzY3BiPL"
"4rUQPTdc7WeToNg4ZVTC3C","2bZlVti3G35TXHANYliIUF","78040","160.996","4","10","1","0.00046","0.427","0.772","0.79","0.386","-11.938","0.053","0.327","https://api.spotify.com/v1/audio-analysis/4rUQPTdc7WeToNg4ZVTC3C","https://api.spotify.com/v1/tracks/4rUQPTdc7WeToNg4ZVTC3C"
"7G2dc9GiB9eC0dczU8sCHU","2bZlVti3G35TXHANYliIUF","79267","169.957","3","1","1","0.887","0.503","0.455","0.925","0.295","-13.279","0.0589","0.547","https://api.spotify.com/v1/audio-analysis/7G2dc9GiB9eC0dczU8sCHU","https://api.spotify.com/v1/tracks/7G2dc9GiB9eC0dczU8sCHU"
"5Sdt6Rs5iv0I9VqdgsQyAD","2bZlVti3G35TXHANYliIUF","136853","79.236","3","7","0","0.0751","0.284","0.247","0.526","0.128","-10.928","0.0344","0.0627","https://api.spotify.com/v1/audio-analysis/5Sdt6Rs5iv0I9VqdgsQyAD","https://api.spotify.com/v1/tracks/5Sdt6Rs5iv0I9VqdgsQyAD"
"6cNBatC1xL1iweHvNWVL6U","2bZlVti3G35TXHANYliIUF","185347","75.02","3","11","0","0.853","0.308","0.194","0.574","0.0923","-11.743","0.0324","0.228","https://api.spotify.com/v1/audio-analysis/6cNBatC1xL1iweHvNWVL6U","https://api.spotify.com/v1/tracks/6cNBatC1xL1iweHvNWVL6U"
"2HRDbaPuFfYiPGyTCueKbi","2bZlVti3G35TXHANYliIUF","64267","178.064","1","1","1","0.0069","0.661","0.293","0.912","0.0919","-20.681","0.534","0.141","https://api.spotify.com/v1/audio-analysis/2HRDbaPuFfYiPGyTCueKbi","https://api.spotify.com/v1/tracks/2HRDbaPuFfYiPGyTCueKbi"
"6qdfQYi6rAYcF9ULaMrUtP","2bZlVti3G35TXHANYliIUF","81440","110.019","3","4","0","0.701","0.756","0.0539","0.219","0.0667","-17.509","0.0408","0.477","https://api.spotify.com/v1/audio-analysis/6qdfQYi6rAYcF9ULaMrUtP","https://api.spotify.com/v1/tracks/6qdfQYi6rAYcF9ULaMrUtP"
"2tJFzJdqe5jlh9fAmuPbJF","2bZlVti3G35TXHANYliIUF","114813","153.844","3","1","0","0.62","0.32","0.196","2.41e-05","0.386","-13.749","0.0335","0.199","https://api.spotify.com/v1/audio-analysis/2tJFzJdqe5jlh9fAmuPbJF","https://api.spotify.com/v1/tracks/2tJFzJdqe5jlh9fAmuPbJF"
"3CLZQVhfV6sz5sseORhX0i","2bZlVti3G35TXHANYliIUF","84307","161.801","3","2","1","0.143","0.582","0.429","0.949","0.212","-13.54","0.0449","0.753","https://api.spotify.com/v1/audio-analysis/3CLZQVhfV6sz5sseORhX0i","https://api.spotify.com/v1/tracks/3CLZQVhfV6sz5sseORhX0i"
"5SVrPrsjiRDcpmJw95QeS1","2bZlVti3G35TXHANYliIUF","87573","133.814","3","4","1","0.765","0.656","0.406","0.0143","0.209","-10.352","0.0517","0.406","https://api.spotify.com/v1/audio-analysis/5SVrPrsjiRDcpmJw95QeS1","https://api.spotify.com/v1/tracks/5SVrPrsjiRDcpmJw95QeS1"
"2OwePc199CMfiWD2FIaSQn","2bZlVti3G35TXHANYliIUF","79667","149.95","3","7","1","0.403","0.658","0.234","0.874","0.0643","-14.148","0.0328","0.886","https://api.spotify.com/v1/audio-analysis/2OwePc199CMfiWD2FIaSQn","https://api.spotify.com/v1/tracks/2OwePc199CMfiWD2FIaSQn"
"4lIHxQ1eINv8Otpus9cnHp","2bZlVti3G35TXHANYliIUF","12960","0","0","0","1","0.495","0","0.114","1.91e-06","0.0802","-10.947","0","0","https://api.spotify.com/v1/audio-analysis/4lIHxQ1eINv8Otpus9cnHp","https://api.spotify.com/v1/tracks/4lIHxQ1eINv8Otpus9cnHp"
"0aS3vigtGJB8xhZuJayxPj","2bZlVti3G35TXHANYliIUF","178200","147.351","3","2","1","0.964","0.245","0.282","0.903","0.138","-12.776","0.0355","0.0376","https://api.spotify.com/v1/audio-analysis/0aS3vigtGJB8xhZuJayxPj","https://api.spotify.com/v1/tracks/0aS3vigtGJB8xhZuJayxPj"
"2hbMnfDi6O7wwt3v5Lq3FA","2bZlVti3G35TXHANYliIUF","147893","136.132","4","1","1","0.836","0.381","0.18","0.541","0.0625","-10.853","0.032","0.0688","https://api.spotify.com/v1/audio-analysis/2hbMnfDi6O7wwt3v5Lq3FA","https://api.spotify.com/v1/tracks/2hbMnfDi6O7wwt3v5Lq3FA"
"073MG4XAHR2LVx3tyPp3ay","2bZlVti3G35TXHANYliIUF","182173","134.676","1","3","1","0.358","0.222","0.42","0.78","0.369","-10.686","0.0336","0.306","https://api.spotify.com/v1/audio-analysis/073MG4XAHR2LVx3tyPp3ay","https://api.spotify.com/v1/tracks/073MG4XAHR2LVx3tyPp3ay"
"50b5nFRva5Q6JQHHXjlxde","2bZlVti3G35TXHANYliIUF","86013","153.19","3","7","1","0.143","0.405","0.487","0.00153","0.211","-8.083","0.0318","0.378","https://api.spotify.com/v1/audio-analysis/50b5nFRva5Q6JQHHXjlxde","https://api.spotify.com/v1/tracks/50b5nFRva5Q6JQHHXjlxde"
"5dLP6fGzSzmPJ2ipBHpDJC","2bZlVti3G35TXHANYliIUF","37600","92.556","3","10","1","0.0271","0.229","0.43","0.882","0.198","-7.319","0.0339","0.356","https://api.spotify.com/v1/audio-analysis/5dLP6fGzSzmPJ2ipBHpDJC","https://api.spotify.com/v1/tracks/5dLP6fGzSzmPJ2ipBHpDJC"
"0m22eBceDprXMVf29g3Izy","2bZlVti3G35TXHANYliIUF","36267","70.793","3","10","0","0.974","0.221","0.0206","0.6","0.169","-22.239","0.0359","0.0706","https://api.spotify.com/v1/audio-analysis/0m22eBceDprXMVf29g3Izy","https://api.spotify.com/v1/tracks/0m22eBceDprXMVf29g3Izy"
"37tuax9DckzLAUcmuAgeCt","2bZlVti3G35TXHANYliIUF","98320","75.983","4","11","0","0.56","0.569","0.199","0.735","0.19","-13.704","0.053","0.88","https://api.spotify.com/v1/audio-analysis/37tuax9DckzLAUcmuAgeCt","https://api.spotify.com/v1/tracks/37tuax9DckzLAUcmuAgeCt"
"0iVNpaOUzKj4WStLa3aDIL","2bZlVti3G35TXHANYliIUF","75253","77.481","4","4","1","0.171","0.338","0.466","0.306","0.791","-8.545","0.0345","0.411","https://api.spotify.com/v1/audio-analysis/0iVNpaOUzKj4WStLa3aDIL","https://api.spotify.com/v1/tracks/0iVNpaOUzKj4WStLa3aDIL"
"1LSLYL3tJvPmH91FIURaVU","2bZlVti3G35TXHANYliIUF","92680","95.962","3","8","1","0.051","0.724","0.44","0.956","0.16","-12.693","0.0622","0.481","https://api.spotify.com/v1/audio-analysis/1LSLYL3tJvPmH91FIURaVU","https://api.spotify.com/v1/tracks/1LSLYL3tJvPmH91FIURaVU"
"0dRx8KtgGOMfunXat0dXaR","2bZlVti3G35TXHANYliIUF","80787","104.882","4","0","1","0.131","0.591","0.322","0.128","0.186","-14.124","0.0743","0.492","https://api.spotify.com/v1/audio-analysis/0dRx8KtgGOMfunXat0dXaR","https://api.spotify.com/v1/tracks/0dRx8KtgGOMfunXat0dXaR"
"0W6vaXlgsxJBXCZ1F4SbzT","2bZlVti3G35TXHANYliIUF","101467","165.036","3","11","1","0.781","0.527","0.444","0.583","0.076","-15.865","0.0378","0.148","https://api.spotify.com/v1/audio-analysis/0W6vaXlgsxJBXCZ1F4SbzT","https://api.spotify.com/v1/tracks/0W6vaXlgsxJBXCZ1F4SbzT"
"5fBHBkmjDmKjpjeMjam6Lf","2bZlVti3G35TXHANYliIUF","176253","120.171","4","9","0","0.656","0.459","0.25","0.714","0.101","-12.09","0.0321","0.29","https://api.spotify.com/v1/audio-analysis/5fBHBkmjDmKjpjeMjam6Lf","https://api.spotify.com/v1/tracks/5fBHBkmjDmKjpjeMjam6Lf"
"3i6RIB5tMp2ODn9XfSITdh","2bZlVti3G35TXHANYliIUF","145720","112.885","4","2","0","0.661","0.537","0.434","0.158","0.236","-10.818","0.0322","0.666","https://api.spotify.com/v1/audio-analysis/3i6RIB5tMp2ODn9XfSITdh","https://api.spotify.com/v1/tracks/3i6RIB5tMp2ODn9XfSITdh"
"3xjdYPMFnKdA4I97zjg7am","2bZlVti3G35TXHANYliIUF","84933","144.227","4","5","0","0.939","0.148","0.191","0.694","0.0975","-17.522","0.04","0.0323","https://api.spotify.com/v1/audio-analysis/3xjdYPMFnKdA4I97zjg7am","https://api.spotify.com/v1/tracks/3xjdYPMFnKdA4I97zjg7am"
"4JWnpFNamLGn00Satm9Vq3","2bZlVti3G35TXHANYliIUF","76773","108.686","3","8","1","0.67","0.564","0.26","0.888","0.0918","-16.309","0.0407","0.815","https://api.spotify.com/v1/audio-analysis/4JWnpFNamLGn00Satm9Vq3","https://api.spotify.com/v1/tracks/4JWnpFNamLGn00Satm9Vq3"
"01y40ZXsusqIIXtVsrgJgA","2bZlVti3G35TXHANYliIUF","100333","116.012","3","4","0","0.576","0.816","0.228","0.9","0.171","-13.185","0.0516","0.675","https://api.spotify.com/v1/audio-analysis/01y40ZXsusqIIXtVsrgJgA","https://api.spotify.com/v1/tracks/01y40ZXsusqIIXtVsrgJgA"
"1XEdEBvaQAfdTttbOzX20A","2bZlVti3G35TXHANYliIUF","98573","129.198","3","10","0","0.975","0.238","0.193","0.948","0.112","-15.591","0.0396","0.308","https://api.spotify.com/v1/audio-analysis/1XEdEBvaQAfdTttbOzX20A","https://api.spotify.com/v1/tracks/1XEdEBvaQAfdTttbOzX20A"
"6ICZ9XMCU0v3SkRKXI7KiT","2bZlVti3G35TXHANYliIUF","127893","146.38","4","7","1","0.408","0.256","0.5","0.899","0.507","-7.531","0.035","0.117","https://api.spotify.com/v1/audio-analysis/6ICZ9XMCU0v3SkRKXI7KiT","https://api.spotify.com/v1/tracks/6ICZ9XMCU0v3SkRKXI7KiT"
"26Bj4ET5tVLgPA8WoF542y","2bZlVti3G35TXHANYliIUF","103333","94.52","3","2","1","0.00788","0.548","0.829","0.906","0.0813","-12.782","0.0472","0.964","https://api.spotify.com/v1/audio-analysis/26Bj4ET5tVLgPA8WoF542y","https://api.spotify.com/v1/tracks/26Bj4ET5tVLgPA8WoF542y"
"0VNOwOKAY9S8nyVuy6LUhd","2bZlVti3G35TXHANYliIUF","81813","91.055","4","7","1","0.814","0.604","0.401","0.598","0.118","-11.587","0.0477","0.662","https://api.spotify.com/v1/audio-analysis/0VNOwOKAY9S8nyVuy6LUhd","https://api.spotify.com/v1/tracks/0VNOwOKAY9S8nyVuy6LUhd"
"5e8kHpiemfFdttVzVUwM4R","2bZlVti3G35TXHANYliIUF","90107","107.965","4","2","1","0.21","0.778","0.437","0.21","0.102","-12.754","0.0603","0.177","https://api.spotify.com/v1/audio-analysis/5e8kHpiemfFdttVzVUwM4R","https://api.spotify.com/v1/tracks/5e8kHpiemfFdttVzVUwM4R"
"3gG4QnSXisB4Jq4MM2kvFk","2bZlVti3G35TXHANYliIUF","140640","144.82","3","9","0","0.987","0.591","0.212","0.235","0.0555","-11.345","0.03","0.715","https://api.spotify.com/v1/audio-analysis/3gG4QnSXisB4Jq4MM2kvFk","https://api.spotify.com/v1/tracks/3gG4QnSXisB4Jq4MM2kvFk"
